season,population,mig.year,n.tagged,surv.est,surv.ci.low,surv.ci.high,surv.se,surv.notes,
spring,Catherine,2011,430,0.422,0.347,0.535,,,
spring,Catherine,2012,1033,0.302,0.254,0.37,,,
spring,Catherine,2013,829,0.22,0.164,0.342,,,
spring,Catherine,2014,764,0.34,0.293,0.398,,,
spring,Catherine,2015,218,0.28,0.104,3.941,,,
spring,Catherine,2016,462,0.183,0.129,0.289,,,
spring,Catherine,2017,617,0.389,0.316,0.502,,,
spring,Catherine,2018,613,0.371,0.305,0.476,,,
spring,Catherine,2019,565,0.29,0.177,0.652,,,
spring,Lostine,1997,475,0.769,0.63,1.009,,,
spring,Lostine,1998,484,0.784,0.728,0.845,,,
spring,Lostine,1999,599,0.744,0.664,0.857,,,
spring,Lostine,2000,355,0.66,0.546,0.823,,,
spring,Lostine,2001,442,0.695,0.648,0.741,,,
spring,Lostine,2002,406,0.683,0.589,0.825,,,
spring,Lostine,2003,482,0.495,0.424,0.591,,,
spring,Lostine,2004,0,NA,,,,,
spring,Lostine,2005,464,0.552,0.503,0.602,,,
spring,Lostine,2006,517,0.619,0.551,0.722,,,
spring,Lostine,2007,505,0.589,0.508,0.706,,,
spring,Lostine,2008,499,0.683,0.616,0.768,,,
spring,Lostine,2009,593,0.692,0.617,0.766,,,
spring,Lostine,2010,1099,0.679,0.589,0.807,,,
spring,Lostine,2011,1751,0.583,0.549,0.621,,,
spring,Lostine,2012,1848,0.55,0.515,0.589,,,
spring,Lostine,2013,1237,0.552,0.495,0.625,,,
spring,Lostine,2014,1153,0.52,0.482,0.563,,,
spring,Lostine,2015,681,0.47,0.307,0.885,,,
spring,Lostine,2016,891,0.516,0.472,0.565,,,
spring,Lostine,2017,603,0.592,0.517,0.688,,,
spring,Lostine,2018,703,0.515,0.459,0.584,,,
spring,Lostine,2019,525,0.625,0.509,0.818,,,
spring,Elgin,2001,4,NA,,,,data were insufficient to calculate a survival probability,
spring,Elgin,2002,167,0.776,0.624,1.073,,,
spring,Elgin,2003,250,0.764,0.668,0.893,,,
spring,Elgin,2004,488,0.721,0.677,0.764,,,
spring,Elgin,2005,236,0.698,0.625,0.776,,,
spring,Elgin,2006,400,0.745,0.666,0.881,,,
spring,Elgin,2011,71,0.726,0.575,0.92,,,
spring,Elgin,2012,437,0.677,0.6,0.77,,,
spring,Elgin,2013,819,0.685,0.634,0.742,,,
spring,Elgin,2014,530,0.677,0.616,0.744,,,
spring,Elgin,2015,844,0.601,0.435,0.925,,,
spring,Elgin,2016,796,0.572,0.524,0.624,,,
spring,Elgin,2017,540,0.757,0.628,0.954,,,
spring,Minam,2001,536,0.619,0.576,0.661,,,
spring,Minam,2002,382,0.532,0.465,0.644,,,
spring,Minam,2003,512,0.476,0.405,0.577,,,
spring,Minam,2004,412,0.53,0.48,0.58,,,
spring,Minam,2005,374,0.555,0.497,0.62,,,
spring,Minam,2006,401,0.543,0.482,0.63,,,
spring,Minam,2007,217,0.602,0.519,0.725,,,
spring,Minam,2008,496,0.623,0.554,0.71,,,
spring,Minam,2009,500,0.618,0.54,0.697,,,
spring,Minam,2010,1059,0.636,0.563,0.734,,,
spring,Minam,2011,1092,0.595,0.542,0.659,,,
spring,Minam,2012,1018,0.504,0.461,0.554,,,
spring,Minam,2013,761,0.634,0.559,0.734,,,
spring,Minam,2014,1103,0.573,0.532,0.62,,,
spring,Minam,2015,958,0.711,0.461,1.318,,,
spring,Minam,2016,747,0.464,0.421,0.511,,,
spring,Minam,2017,530,0.599,0.511,0.72,,,
spring,Minam,2018,646,0.546,0.494,0.605,,,
spring,Minam,2019,755,0.679,0.579,0.822,,,
spring,UGR,1994,571,0.462,0.387,0.563,,,
spring,UGR,1995,368,0.609,0.545,0.683,,,
spring,UGR,1996,327,0.512,0.404,0.69,,,
spring,UGR,1998,512,0.548,0.487,0.622,,,
spring,UGR,1999,528,0.538,0.486,0.601,,,
spring,UGR,2000,495,0.56,0.472,0.68,,,
spring,UGR,2001,6,NA,,,,data were insufficient to calculate a survival probability,
spring,UGR,2002,536,0.499,0.416,0.633,,,
spring,UGR,2003,571,0.397,0.346,0.461,,,
spring,UGR,2004,525,0.42,0.376,0.464,,,
spring,UGR,2005,615,0.374,0.335,0.418,,,
spring,UGR,2006,505,0.398,0.318,0.561,,,
spring,UGR,2007,501,0.373,0.307,0.469,,,
spring,UGR,2008,510,0.418,0.364,0.495,,,
spring,UGR,2009,10,NA,,,,data were insufficient to calculate a survival probability,
spring,UGR,2010,503,0.468,0.401,0.553,,,
spring,UGR,2011,672,0.447,0.392,0.512,,,
spring,UGR,2012,632,0.405,0.348,0.476,,,
spring,UGR,2013,787,0.314,0.268,0.373,,,
spring,UGR,2014,808,0.34,0.296,0.391,,,
spring,UGR,2015,802,0.303,0.214,0.505,,,
spring,UGR,2016,600,0.232,0.192,0.283,,,
spring,UGR,2017,772,0.322,0.266,0.405,,,
spring,UGR,2018,629,0.435,0.372,0.523,,,
spring,UGR,2019,709,0.311,0.231,0.473,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
