population,year,trapdate,count,sex,origin,forklength,agedesignation,age.best,age.cwt,age.pit,age.scale,age.length,recapture,oppunch,notes
Catherine,2002,2002-05-27,1,F,Nat,689,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-27,1,M,Hat,693,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-27,1,F,Nat,740,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-27,1,F,Nat,865,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-27,1,M,Nat,755,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,M,Nat,718,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,641,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,M,Nat,770,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Hat,870,Adult,5,NA,NA,NA,5,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Hat,745,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Hat,660,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,850,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,700,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,723,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Hat,714,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Hat,702,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,M,Nat,734,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,819,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,M,Nat,758,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,M,Hat,765,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,750,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,744,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,M,Nat,818,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,639,Adult,3,NA,NA,NA,3,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,692,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-28,1,F,Nat,649,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-29,1,M,Nat,698,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-30,1,M,Nat,661,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-30,1,M,Nat,569,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-30,1,F,Nat,712,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-30,1,M,Hat,688,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-31,1,M,Hat,714,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-31,1,F,Hat,648,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-04,1,F,Hat,690,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-05,1,M,Nat,795,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-05,1,M,Nat,718,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-05,1,F,Hat,705,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-06,1,F,Hat,712,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-06,1,M,Nat,825,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-06,1,M,Hat,701,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-10,1,M,Hat,678,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-11,1,M,Hat,734,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-11,1,M,Nat,659,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-11,1,F,Hat,723,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-11,1,F,Nat,684,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-12,1,M,Hat,717,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-12,1,F,Hat,685,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-12,1,F,Hat,721,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-12,1,F,Hat,638,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-12,1,F,Hat,736,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-12,1,M,Hat,755,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,M,Nat,795,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,M,Nat,887,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,F,Nat,689,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,M,Hat,758,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,M,Hat,716,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,F,Hat,698,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,F,Hat,724,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,F,Nat,657,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,F,Nat,697,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,F,Nat,718,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,F,Hat,665,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,M,Hat,628,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-13,1,M,Hat,649,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Hat,684,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Nat,672,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Hat,736,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Nat,891,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Nat,719,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Nat,819,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Nat,802,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,F,Hat,648,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,F,Nat,692,Adult,3,NA,NA,NA,3,FALSE,1ROP/CAU,
