season,population,mig.year,n.length,len.mean,len.sd,len.se,len.min,len.max,summer.median.date,len.notes,
winter,Catherine,2019,541,84.6,7.21,0.31,66,107,,,
spring,Catherine,2019,567,89.2,6.91,0.29,70,117,,,
summer,UGR,1994,1001,63.2,6.47,0.20,54,89,1993-09-15,PIT tagged fish only,
fall,UGR,1994,1473,76.0,11.13,0.29,43,115,,,
winter,UGR,1994,529,67.2,7.36,0.32,46,86,,,
spring,UGR,1994,2604,83.0,9.70,0.19,57,118,,,
summer,UGR,1995,998,67.3,7.84,0.25,57,107,1994-09-15,PIT tagged fish only,
fall,UGR,1995,533,78.9,9.00,0.39,56,111,,,
winter,UGR,1995,463,71.4,7.96,0.37,60,108,,,
spring,UGR,1995,948,86.8,9.24,0.30,32,118,,,
summer,UGR,1996,0,,,,,,,,
fall,UGR,1996,4,96.3,5.32,2.66,90,102,,,
winter,UGR,1996,0,,,,,,,,
spring,UGR,1996,329,90.0,9.98,0.55,72,118,,,
summer,UGR,1997,0,,,,,,,,
fall,UGR,1997,27,91.7,4.82,0.93,83,100,,,
winter,UGR,1997,0,,,,,,,,
spring,UGR,1997,1,95.0,,,,,,,
summer,UGR,1998,0,,,,,,,,
fall,UGR,1998,646,82.0,11.18,0.44,59,115,,,
winter,UGR,1998,160,75.0,10.12,0.80,57,106,,,
spring,UGR,1998,865,86.6,10.88,0.37,64,118,,,
summer,UGR,1999,0,,,,,,,,
fall,UGR,1999,685,83.4,13.09,0.50,55,117,,,
winter,UGR,1999,419,70.7,7.57,0.37,57,92,,,
spring,UGR,1999,944,88.5,10.45,0.34,62,120,,,
summer,UGR,2000,0,,,,,,,,
fall,UGR,2000,800,79.9,11.60,0.41,51,128,,,
winter,UGR,2000,500,74.1,7.83,0.35,57,99,,,
spring,UGR,2000,1090,88.4,9.24,0.28,64,122,,,
summer,UGR,2001,0,,,,,,,,
fall,UGR,2001,1,96.0,,,,,,,
winter,UGR,2001,0,,,,,,,,
spring,UGR,2001,7,107.9,5.66,2.14,100,115,,,
summer,UGR,2002,0,,,,,,,,
fall,UGR,2002,345,78.3,6.32,0.34,62,115,,,
winter,UGR,2002,0,,,,,,,,
spring,UGR,2002,568,85.0,8.58,0.36,60,130,,,
summer,UGR,2003,0,,,,,,,,
fall,UGR,2003,586,81.3,5.33,0.22,67,98,,,
winter,UGR,2003,0,,,,,,,,
spring,UGR,2003,605,86.6,6.40,0.26,64,110,,,
summer,UGR,2004,0,,,,,,,,
fall,UGR,2004,182,78.3,4.59,0.34,67,90,,,
winter,UGR,2004,299,76.0,6.57,0.38,60,95,,,
spring,UGR,2004,655,84.1,7.42,0.29,63,111,,,
summer,UGR,2005,0,,,,,,,,
fall,UGR,2005,405,81.9,7.04,0.35,56,110,,,
winter,UGR,2005,448,78.9,5.93,0.28,62,94,,,
spring,UGR,2005,705,89.1,7.97,0.30,70,124,,,
summer,UGR,2006,0,,,,,,,,
fall,UGR,2006,587,69.4,8.48,0.35,50,93,,,
winter,UGR,2006,463,65.6,7.53,0.35,51,90,,,
spring,UGR,2006,717,79.9,8.30,0.31,59,112,,,
summer,UGR,2007,0,,,,,,,,
fall,UGR,2007,698,73.3,6.34,0.24,56,97,,,
winter,UGR,2007,482,75.6,8.12,0.37,56,103,,,
spring,UGR,2007,661,86.5,10.03,0.39,38,140,,,
summer,UGR,2008,1010,65.7,7.28,0.23,53,107,2007-08-28,,
fall,UGR,2008,159,74.1,6.30,0.50,58,91,,,
winter,UGR,2008,83,75.9,5.74,0.63,60,87,,,
spring,UGR,2008,716,82.4,6.69,0.25,64,112,,,
summer,UGR,2009,0,,,,,,,,
fall,UGR,2009,4,96.0,7.88,3.94,85,103,,,
winter,UGR,2009,0,,,,,,,,
spring,UGR,2009,11,100.2,14.29,4.31,82,135,,,
summer,UGR,2010,997,62.2,6.17,0.20,52,91,2009-08-11,PIT tagged fish only,
fall,UGR,2010,553,77.7,7.76,0.33,56,100,,,
winter,UGR,2010,498,69.8,6.47,0.29,54,90,,,
spring,UGR,2010,1162,84.5,9.20,0.27,55,124,,,
summer,UGR,2011,998,61.6,5.43,0.17,52,96,2010-08-25,,
fall,UGR,2011,888,82.1,7.45,0.25,55,107,,,
winter,UGR,2011,431,72.0,7.06,0.34,55,98,,,
spring,UGR,2011,960,85.2,8.99,0.29,56,115,,,
summer,UGR,2012,1412,60.4,8.83,0.23,42,93,2011-09-13,,
fall,UGR,2012,968,70.5,8.71,0.28,45,102,,,
winter,UGR,2012,259,69.2,8.85,0.55,53,99,,,
spring,UGR,2012,1362,84.0,8.86,0.24,60,113,,,
summer,UGR,2013,1639,57.8,7.69,0.19,39,90,2012-08-28,,
fall,UGR,2013,1362,75.4,7.38,0.20,53,102,,,
winter,UGR,2013,581,71.2,9.88,0.41,51,110,,,
spring,UGR,2013,1728,84.6,9.15,0.22,55,150,,,
summer,UGR,2014,1419,59.1,7.16,0.19,44,82,2013-08-27,,
fall,UGR,2014,1501,70.6,8.52,0.22,51,111,,,
winter,UGR,2014,139,65.8,8.49,0.72,50,90,,,
spring,UGR,2014,1326,82.1,8.74,0.24,57,106,,,
summer,UGR,2015,1043,65.6,7.75,0.24,46,118,2014-08-25,,
fall,UGR,2015,888,75.0,6.26,0.21,57,129,,,
winter,UGR,2015,658,72.4,7.18,0.28,56,102,,,
spring,UGR,2015,1707,86.9,9.09,0.22,61,112,,,
