"WeirLocation","TrapYear","TrapDate","Count","Sex","Origin","ForkLength","BestAge","CWTAge","PITAge","ScaleAge_Best","LengthAge","Age_Key","Recapture","Disposition","Description","New_or_recap","OpPunch"
"Catherine Creek",1999,1999-7-8 00:00:00,1,"Unk","Nat",665,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-11 00:00:00,1,"Unk","Nat",777,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-13 00:00:00,1,"Unk","Nat",768,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-14 00:00:00,1,"Unk","Nat",704,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-15 00:00:00,1,"Unk","Nat",716,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-17 00:00:00,1,"Unk","Nat",610,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-17 00:00:00,1,"Unk","Nat",730,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-21 00:00:00,1,"Unk","Nat",757,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-7-28 00:00:00,1,"Unk","Nat",720,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-8-3 00:00:00,1,"Unk","Nat",738,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",1999,1999-8-25 00:00:00,1,"F","Nat",768,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-5-22 00:00:00,1,"Unk","Nat",715,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-5-26 00:00:00,1,"Unk","Nat",735,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-5-26 00:00:00,1,"Unk","Nat",737,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-2 00:00:00,1,"Unk","Nat",723,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-3 00:00:00,1,"M","Nat",724,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-3 00:00:00,1,"M","Nat",750,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-6 00:00:00,1,"M","Nat",735,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2002,2002-5-20 00:00:00,1,"F","Hat",740,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-25 00:00:00,1,"F","Nat",667,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-25 00:00:00,1,"F","Nat",801,5,,,,5,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-26 00:00:00,1,"M","Nat",703,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-26 00:00:00,1,"F","Nat",815,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-26 00:00:00,1,"M","Hat",729,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-26 00:00:00,1,"F","Nat",820,5,,,,5,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-26 00:00:00,1,"M","Nat",698,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"M","Hat",737,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"F","Nat",762,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"M","Hat",741,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"M","Nat",762,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"F","Nat",689,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"M","Hat",693,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"F","Nat",740,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"F","Nat",865,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-27 00:00:00,1,"M","Nat",755,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"M","Nat",718,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",641,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"M","Nat",770,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Hat",870,5,,,,5,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Hat",745,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Hat",660,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",850,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",700,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",723,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Hat",714,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Hat",702,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"M","Nat",734,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",819,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"M","Nat",758,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"M","Hat",765,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",750,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",744,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"M","Nat",818,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",639,3,,,,3,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",692,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-28 00:00:00,1,"F","Nat",649,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-29 00:00:00,1,"M","Nat",698,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-30 00:00:00,1,"M","Nat",661,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-30 00:00:00,1,"M","Nat",569,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-30 00:00:00,1,"F","Nat",712,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-30 00:00:00,1,"M","Hat",688,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-31 00:00:00,1,"M","Hat",714,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-5-31 00:00:00,1,"F","Hat",648,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-4 00:00:00,1,"F","Hat",690,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-5 00:00:00,1,"M","Nat",795,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-5 00:00:00,1,"M","Nat",718,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-5 00:00:00,1,"F","Hat",705,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-6 00:00:00,1,"F","Hat",712,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-6 00:00:00,1,"M","Nat",825,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-6 00:00:00,1,"M","Hat",701,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-10 00:00:00,1,"M","Hat",678,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-11 00:00:00,1,"M","Hat",734,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-11 00:00:00,1,"M","Nat",659,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-11 00:00:00,1,"F","Hat",723,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-11 00:00:00,1,"F","Nat",684,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-12 00:00:00,1,"M","Hat",717,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-12 00:00:00,1,"F","Hat",685,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-12 00:00:00,1,"F","Hat",721,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-12 00:00:00,1,"F","Hat",638,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-12 00:00:00,1,"F","Hat",736,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-12 00:00:00,1,"M","Hat",755,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"M","Nat",795,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"M","Nat",887,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
