"LCM_pop","River","Year","SurveyDate","SiteID","Section","AboveOrBelowWeir","AboveOrBelowRST","Survey Type","Objective","Count","Sex","Origin","ForkLength","BestAge","CWTAge","BestScaleAge","LengthAge","AgeKey","PreSpawn","PercentSpawned","MarkRecapSizeCategory","OPPunch","OperclePunchType","Comments"
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",890,5,,5,5,,"Spawned",100.00,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-8-18 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Carcass","Carcass",1,"M","Nat",845,4,,4,5,,"NotValid",,"Adult",,,"Testee developing, Pre-spawn mort."
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",970,5,,5,5,,"NotValid",,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",930,5,,,5,,"NotValid",,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-9-1 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",900,5,,5,5,,"Spawned",100.00,"Adult","Yes","1LOP",
"Catherine","Catherine Creek",1998.00,1998-9-1 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",730,4,,4,4,,"NotValid",,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",860,5,,5,5,,"Spawned",100.00,"Adult",,,
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",440,3,,3,3,,"NotValid",,"Jack",,,
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",927,5,,5,5,,"NotValid",,"Adult","No","None",
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",810,4,,4,5,,"Spawned",100.00,"Adult","Yes","2ROP",
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",1005,5,,,5,,"NotValid",,"Adult",,,"Still contained milk"
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",970,5,,5,5,,"NotValid",,"Adult",,,"No op, Testes full sperm"
"Catherine","Catherine Creek",1998.00,1998-8-19 00:00:00,"CATH7.2C","Weir to 2nd Union Bridge","Below Weir",,"Carcass","Carcass",1,"F","Nat",897,5,,5,5,,"PreSpawn",0.00,"Adult",,," pre-spawn mort; Scales from scar of skin, not likely key area, length calculted from MEPs"
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH7.2C","Weir to 2nd Union Bridge","Below Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",923,5,,5,5,,"NotValid",,"Adult",,,"No Rop punch"
"Catherine","Catherine Creek",1998.00,1998-9-11 00:00:00,"CATH7.2E","Culvert to Weir","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",900,5,,5,5,,"NotValid",,"Adult","Yes","1ROP","Per Rich Carmichael direction-FinMark changed from AD because no CWT found"
"Catherine","Catherine Creek",1998.00,1998-9-1 00:00:00,"CATH7.2E","Culvert to Weir","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",810,5,,5,5,,"Unknown",-99.00,"Adult",,,"Ventral half of fish gone"
"Catherine","Catherine Creek",1999.00,1999-9-8 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",740,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-15 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",700,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-8-31 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",730,4,,4,4,,"PreSpawn",50.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-15 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",800,5,,4,5,,"NotValid",,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-15 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",746,4,,4,4,,"Spawned",100.00,"Adult","Yes","1ROP",
"Catherine","Catherine Creek",1999.00,1999-8-31 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",680,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-8-31 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",660,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-8 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",790,4,,4,4,,"NotValid",,"Adult","Yes","1ROP",
"Catherine","Catherine Creek",1999.00,1999-9-15 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",660,4,,4,4,,"NotValid",,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-8-31 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",700,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-15 00:00:00,"CATH6","Highway 203 Bridge to Badger Flat Road","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",760,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-15 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",790,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-15 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",720,4,,4,4,,"Spawned",90.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-8 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",,,,4,,,"NotValid",,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-8-31 00:00:00,"CATH7.1","Badger Flat Road to Culvert","Above Weir",,"Extensive","Redd & Carcass",1,"F","Nat",735,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",1999.00,1999-9-8 00:00:00,"CATH7.2E","Culvert to Weir","Above Weir",,"Supplemental","Redd & Carcass",1,"Unk","Nat",,,,-99,,,"Unknown",,"Adult","No","None","Head only; female?"
"Catherine","Catherine Creek",2000.00,2000-8-29 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Index","Redd & Carcass",1,"M","Nat",710,4,,4,4,,"NotValid",,"Adult","Unk","Unk",
"Catherine","Catherine Creek",2000.00,2000-9-12 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",705,4,,4,4,,"Spawned",100.00,"Adult","Yes","1ROP","blue jaw tag 705"
"Catherine","Catherine Creek",2000.00,2000-9-12 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",710,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",2000.00,2000-9-12 00:00:00,"CATH7.2C","Weir to 2nd Union Bridge","Below Weir",,"Supplemental","Redd & Carcass",1,"Unk","Unk",,4,,4,,,"Unknown",,"Adult","Unk","Unk",
"Catherine","Catherine Creek",2000.00,2000-9-12 00:00:00,"CATH7.2C","Weir to 2nd Union Bridge","Below Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",830,5,,5,5,,"Spawned",95.00,"Adult","No","None",
"Catherine","Catherine Creek",2000.00,2000-9-12 00:00:00,"CATH7.2C","Weir to 2nd Union Bridge","Below Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",740,4,,,4,,"NotValid",,"Adult","No","None",
"Catherine","Catherine Creek",2000.00,2000-9-6 00:00:00,"CATH7.2C","Weir to 2nd Union Bridge","Below Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",,,,,,,"Spawned",100.00,"Adult","No","None","FinMark changed from unk because no CWT found"
"Catherine","Catherine Creek",2000.00,2000-9-12 00:00:00,"CATH7.2E","Culvert to Weir","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",760,3,,,4,,"NotValid",,"Jack","No","None",
"Catherine","Catherine Creek",2001.00,2001-9-5 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",630,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",2001.00,2001-9-11 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",695,4,,4,4,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",2001.00,2001-9-11 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",845,5,,5,5,,"Spawned",100.00,"Adult","No","None",
"Catherine","Catherine Creek",2001.00,2001-9-5 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",640,4,,4,4,,"NotValid",,"Adult","No","None",
"Catherine","Catherine Creek",2001.00,2001-9-5 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",635,4,,4,4,,"Spawned",100.00,"Adult","No","None",
